real_salary,predicted_salary,residuals,season,position,team
2944000,3355219.2917989492,-411219.29179894924,2000,Guard,Vancouver Grizzlies
2800000,3481596.556302339,-681596.5563023388,2000,Center,Los Angeles Lakers
2777000,3481596.556302339,-704596.5563023388,2000,Center,Denver Nuggets
2720000,3102464.7627921104,-382464.76279211044,2000,Small Forward,Washington Wizards
2716000,3418407.924050629,-702407.9240506291,2000,Forward,Los Angeles Clippers
2712000,3292030.6595472395,-580030.6595472395,2000,Point Guard,Charlotte Hornets
2600000,3292030.6595472395,-692030.6595472395,2000,Point Guard,Golden State Warriors
2520000,3165653.39504382,-645653.3950438201,2000,Shooting Guard,Charlotte Hornets
2520000,3481596.556302339,-961596.5563023388,2000,Center,Minnesota Timberwolves
2503000,3228842.02729553,-725842.0272955298,2000,Power Forward,Golden State Warriors
2500000,3228842.02729553,-728842.0272955298,2000,Power Forward,Boston Celtics
2495000,3165653.39504382,-670653.3950438201,2000,Shooting Guard,Minnesota Timberwolves
2445000,3228842.02729553,-783842.0272955298,2000,Power Forward,Los Angeles Clippers
2400000,3418407.924050629,-1018407.9240506291,2000,Forward,Cleveland Cavaliers
2400000,3228842.02729553,-828842.0272955298,2000,Power Forward,Sacramento Kings
2350000,3165653.39504382,-815653.3950438201,2000,Shooting Guard,Detroit Pistons
2285000,3228842.02729553,-943842.0272955298,2000,Power Forward,San Antonio Spurs
2267000,3355219.2917989492,-1088219.2917989492,2000,Guard,Toronto Raptors
2214000,3102464.7627921104,-888464.7627921104,2000,Small Forward,Indiana Pacers
2100000,3355219.2917989492,-1255219.2917989492,2000,Guard,Toronto Raptors
2059000,3228842.02729553,-1169842.0272955298,2000,Power Forward,Milwaukee Bucks
2025000,3228842.02729553,-1203842.0272955298,2000,Power Forward,Vancouver Grizzlies
2011000,3165653.39504382,-1154653.3950438201,2000,Shooting Guard,Minnesota Timberwolves
2000000,3481596.556302339,-1481596.5563023388,2000,Center,Detroit Pistons
2000000,3165653.39504382,-1165653.3950438201,2000,Shooting Guard,Los Angeles Clippers
2000000,3102464.7627921104,-1102464.7627921104,2000,Small Forward,Phoenix Suns
2000000,3418407.924050629,-1418407.9240506291,2000,Forward,New Jersey Nets
2000000,3102464.7627921104,-1102464.7627921104,2000,Small Forward,New York Knicks
2000000,3355219.2917989492,-1355219.2917989492,2000,Guard,San Antonio Spurs
2000000,3102464.7627921104,-1102464.7627921104,2000,Small Forward,Houston Rockets
2000000,3165653.39504382,-1165653.3950438201,2000,Shooting Guard,Boston Celtics
2000000,3102464.7627921104,-1102464.7627921104,2000,Small Forward,Detroit Pistons
2000000,3102464.7627921104,-1102464.7627921104,2000,Small Forward,Philadelphia 76ers
2000000,3418407.924050629,-1418407.9240506291,2000,Forward,Vancouver Grizzlies
2000000,3102464.7627921104,-1102464.7627921104,2000,Small Forward,Atlanta Hawks
1968000,3355219.2917989492,-1387219.2917989492,2000,Guard,San Antonio Spurs
1925000,3355219.2917989492,-1430219.2917989492,2000,Guard,Milwaukee Bucks
1920000,3481596.556302339,-1561596.5563023388,2000,Center,Dallas Mavericks
1920000,3165653.39504382,-1245653.3950438201,2000,Shooting Guard,New Jersey Nets
