real_salary,predicted_salary,residuals,season,position,team
3491767,4222882.90099147,-731115.9009914696,2007,Center,LA Clippers
3380160,4033317.0042363405,-653157.0042363405,2007,Point Guard,NO/Oklahoma City Hornets
3348000,4033317.0042363405,-685317.0042363405,2007,Point Guard,Orlando Magic
3315000,3970128.371984631,-655128.3719846308,2007,Power Forward,San Antonio Spurs
3303813,4222882.90099147,-919069.9009914696,2007,Center,Charlotte Bobcats
3260760,3970128.371984631,-709368.3719846308,2007,Power Forward,Chicago Bulls
3250000,3970128.371984631,-720128.3719846308,2007,Power Forward,Atlanta Hawks
3240741,3906939.739732921,-666198.7397329211,2007,Shooting Guard,Dallas Mavericks
3240000,4222882.90099147,-982882.9009914696,2007,Center,LA Clippers
3196050,4033317.0042363405,-837267.0042363405,2007,Point Guard,Philadelphia 76ers
3196050,3843751.1074812114,-647701.1074812114,2007,Small Forward,Cleveland Cavaliers
3192628,3906939.739732921,-714311.7397329211,2007,Shooting Guard,Chicago Bulls
3153120,4096505.63648805,-943385.6364880502,2007,Guard,Dallas Mavericks
3100000,3843751.1074812114,-743751.1074812114,2007,Small Forward,Orlando Magic
3100000,3906939.739732921,-806939.7397329211,2007,Shooting Guard,Toronto Raptors
3060840,4096505.63648805,-1035665.6364880502,2007,Guard,Charlotte Bobcats
3058200,3970128.371984631,-911928.3719846308,2007,Power Forward,Houston Rockets
3024000,4222882.90099147,-1198882.9009914696,2007,Center,Philadelphia 76ers
3024000,4033317.0042363405,-1009317.0042363405,2007,Point Guard,Chicago Bulls
3000000,4033317.0042363405,-1033317.0042363405,2007,Point Guard,Memphis Grizzlies
3000000,4222882.90099147,-1222882.9009914696,2007,Center,San Antonio Spurs
3000000,3843751.1074812114,-843751.1074812114,2007,Small Forward,NO/Oklahoma City Hornets
2952840,4222882.90099147,-1270042.9009914696,2007,Center,Atlanta Hawks
2950000,4033317.0042363405,-1083317.0042363405,2007,Point Guard,Milwaukee Bucks
2929467,4033317.0042363405,-1103850.0042363405,2007,Point Guard,Toronto Raptors
2900000,4222882.90099147,-1322882.9009914696,2007,Center,Memphis Grizzlies
2889000,3906939.739732921,-1017939.7397329211,2007,Shooting Guard,San Antonio Spurs
2880000,4222882.90099147,-1342882.9009914696,2007,Center,Miami Heat
2863920,4159694.26873976,-1295774.26873976,2007,Forward,Atlanta Hawks
2800000,3906939.739732921,-1106939.7397329211,2007,Shooting Guard,Philadelphia 76ers
2793103,3970128.371984631,-1177025.3719846308,2007,Power Forward,Boston Celtics
2780160,3843751.1074812114,-1063591.1074812114,2007,Small Forward,Portland Trail Blazers
2753218,4033317.0042363405,-1280099.0042363405,2007,Point Guard,Portland Trail Blazers
2750000,4222882.90099147,-1472882.9009914696,2007,Center,Charlotte Bobcats
2700000,3970128.371984631,-1270128.3719846308,2007,Power Forward,Minnesota Timberwolves
2700000,3906939.739732921,-1206939.7397329211,2007,Shooting Guard,Seattle SuperSonics
2696956,3970128.371984631,-1273172.3719846308,2007,Power Forward,Chicago Bulls
2681880,3906939.739732921,-1225059.7397329211,2007,Shooting Guard,Portland Trail Blazers
2650000,3906939.739732921,-1256939.7397329211,2007,Shooting Guard,Phoenix Suns
2640000,4033317.0042363405,-1393317.0042363405,2007,Point Guard,Dallas Mavericks
2625698,4222882.90099147,-1597184.9009914696,2007,Center,Utah Jazz
2614440,4159694.26873976,-1545254.26873976,2007,Forward,Chicago Bulls
2564127,3843751.1074812114,-1279624.1074812114,2007,Small Forward,Washington Wizards
2550000,3906939.739732921,-1356939.7397329211,2007,Shooting Guard,Toronto Raptors
2537880,3970128.371984631,-1432248.3719846308,2007,Power Forward,Milwaukee Bucks
2535720,3906939.739732921,-1371219.7397329211,2007,Shooting Guard,Sacramento Kings
2535260,3843751.1074812114,-1308491.1074812114,2007,Small Forward,Golden State Warriors
2510000,3906939.739732921,-1396939.7397329211,2007,Shooting Guard,Orlando Magic
2501070,4159694.26873976,-1658624.26873976,2007,Forward,Seattle SuperSonics
2500000,4222882.90099147,-1722882.9009914696,2007,Center,San Antonio Spurs
2500000,3843751.1074812114,-1343751.1074812114,2007,Small Forward,New Jersey Nets
2500000,4222882.90099147,-1722882.9009914696,2007,Center,Miami Heat
2500000,3906939.739732921,-1406939.7397329211,2007,Shooting Guard,Los Angeles Lakers
2448240,3906939.739732921,-1458699.7397329211,2007,Shooting Guard,Minnesota Timberwolves
2425878,4033317.0042363405,-1607439.0042363405,2007,Point Guard,Seattle SuperSonics
2395200,4222882.90099147,-1827682.9009914696,2007,Center,Utah Jazz
2333334,4096505.63648805,-1763171.6364880502,2007,Guard,Toronto Raptors
2325000,4159694.26873976,-1834694.26873976,2007,Forward,New York Knicks
2250000,3906939.739732921,-1656939.7397329211,2007,Shooting Guard,Detroit Pistons
2242920,3843751.1074812114,-1600831.1074812114,2007,Small Forward,Memphis Grizzlies
2210000,3970128.371984631,-1760128.3719846308,2007,Power Forward,Minnesota Timberwolves
2210000,4222882.90099147,-2012882.9009914696,2007,Center,Houston Rockets
2201640,3906939.739732921,-1705299.7397329211,2007,Shooting Guard,Philadelphia 76ers
2200000,3970128.371984631,-1770128.3719846308,2007,Power Forward,Charlotte Bobcats
2200000,4222882.90099147,-2022882.9009914696,2007,Center,San Antonio Spurs
2200000,4222882.90099147,-2022882.9009914696,2007,Center,Cleveland Cavaliers
2157097,3843751.1074812114,-1686654.1074812114,2007,Small Forward,Golden State Warriors
2137200,3970128.371984631,-1832928.3719846308,2007,Power Forward,Indiana Pacers
2115000,3906939.739732921,-1791939.7397329211,2007,Shooting Guard,Houston Rockets
2061720,4222882.90099147,-2161162.9009914696,2007,Center,Golden State Warriors
2051938,4159694.26873976,-2107756.26873976,2007,Forward,NO/Oklahoma City Hornets
2030280,4222882.90099147,-2192602.9009914696,2007,Center,Los Angeles Lakers
2000000,4222882.90099147,-2222882.9009914696,2007,Center,San Antonio Spurs
2000000,4222882.90099147,-2222882.9009914696,2007,Center,Charlotte Bobcats
1998000,4222882.90099147,-2224882.9009914696,2007,Center,Dallas Mavericks
1986960,4222882.90099147,-2235922.9009914696,2007,Center,Golden State Warriors
1974259,3843751.1074812114,-1869492.1074812114,2007,Small Forward,Dallas Mavericks
1962206,3906939.739732921,-1944733.7397329211,2007,Shooting Guard,Cleveland Cavaliers
1958640,4222882.90099147,-2264242.9009914696,2007,Center,Seattle SuperSonics
1920000,4033317.0042363405,-2113317.0042363405,2007,Point Guard,Milwaukee Bucks
1887600,4222882.90099147,-2335282.9009914696,2007,Center,Seattle SuperSonics
1886113,3906939.739732921,-2020826.7397329211,2007,Shooting Guard,Memphis Grizzlies
1870501,4222882.90099147,-2352381.9009914696,2007,Center,Phoenix Suns
1860720,3906939.739732921,-2046219.7397329211,2007,Shooting Guard,Orlando Magic
1854376,4033317.0042363405,-2178941.0042363405,2007,Point Guard,Brooklyn Nets
1836426,3843751.1074812114,-2007325.1074812114,2007,Small Forward,Portland Trail Blazers
1830720,3970128.371984631,-2139408.371984631,2007,Power Forward,Chicago Bulls
1817141,3970128.371984631,-2152987.371984631,2007,Power Forward,Los Angeles Lakers
1803600,3970128.371984631,-2166528.371984631,2007,Power Forward,Washington Wizards
1803600,3970128.371984631,-2166528.371984631,2007,Power Forward,Chicago Bulls
1800000,4033317.0042363405,-2233317.0042363405,2007,Point Guard,Houston Rockets
1800000,3970128.371984631,-2170128.371984631,2007,Power Forward,Charlotte Bobcats
1793160,4033317.0042363405,-2240157.0042363405,2007,Point Guard,Boston Celtics
1767600,3970128.371984631,-2202528.371984631,2007,Power Forward,NO/Oklahoma City Hornets
1750000,3906939.739732921,-2156939.739732921,2007,Shooting Guard,Detroit Pistons
1750000,3906939.739732921,-2156939.739732921,2007,Shooting Guard,Cleveland Cavaliers
1750000,4033317.0042363405,-2283317.0042363405,2007,Point Guard,Los Angeles Lakers
1750000,4222882.90099147,-2472882.9009914696,2007,Center,LA Clippers
1740720,4222882.90099147,-2482162.9009914696,2007,Center,Charlotte Bobcats
1703520,3970128.371984631,-2266608.371984631,2007,Power Forward,Toronto Raptors
1689410,4222882.90099147,-2533472.9009914696,2007,Center,Boston Celtics
1679733,3906939.739732921,-2227206.739732921,2007,Shooting Guard,Phoenix Suns
1679280,3843751.1074812114,-2164471.1074812114,2007,Small Forward,Chicago Bulls
1667603,3843751.1074812114,-2176148.1074812114,2007,Small Forward,Dallas Mavericks
1653720,3906939.739732921,-2253219.739732921,2007,Shooting Guard,Minnesota Timberwolves
1628959,4222882.90099147,-2593923.9009914696,2007,Center,Dallas Mavericks
1620000,3906939.739732921,-2286939.739732921,2007,Shooting Guard,Los Angeles Lakers
1618320,4222882.90099147,-2604562.9009914696,2007,Center,Boston Celtics
1600000,3970128.371984631,-2370128.371984631,2007,Power Forward,New Jersey Nets
1595400,3843751.1074812114,-2248351.1074812114,2007,Small Forward,Utah Jazz
1570920,3843751.1074812114,-2272831.1074812114,2007,Small Forward,New Jersey Nets
1569600,4033317.0042363405,-2463717.0042363405,2007,Point Guard,Indiana Pacers
1540000,3906939.739732921,-2366939.739732921,2007,Shooting Guard,Phoenix Suns
1537440,3906939.739732921,-2369499.739732921,2007,Shooting Guard,Houston Rockets
1529873,3843751.1074812114,-2313878.1074812114,2007,Small Forward,Minnesota Timberwolves
1515480,3843751.1074812114,-2328271.1074812114,2007,Small Forward,NO/Oklahoma City Hornets
1492440,3843751.1074812114,-2351311.1074812114,2007,Small Forward,Toronto Raptors
1475000,3906939.739732921,-2431939.739732921,2007,Shooting Guard,Chicago Bulls
1470000,3843751.1074812114,-2373751.1074812114,2007,Small Forward,LA Clippers
1460640,3970128.371984631,-2509488.371984631,2007,Power Forward,Atlanta Hawks
1439760,3906939.739732921,-2467179.739732921,2007,Shooting Guard,Philadelphia 76ers
1417800,3843751.1074812114,-2425951.1074812114,2007,Small Forward,Indiana Pacers
1400000,3906939.739732921,-2506939.739732921,2007,Shooting Guard,New Jersey Nets
1387560,3906939.739732921,-2519379.739732921,2007,Shooting Guard,Denver Nuggets
1375000,3843751.1074812114,-2468751.1074812114,2007,Small Forward,Los Angeles Lakers
1367760,3843751.1074812114,-2475991.1074812114,2007,Small Forward,Indiana Pacers
1350000,4033317.0042363405,-2683317.0042363405,2007,Point Guard,Indiana Pacers
1347000,3906939.739732921,-2559939.739732921,2007,Shooting Guard,Boston Celtics
1330000,4033317.0042363405,-2703317.0042363405,2007,Point Guard,Milwaukee Bucks
1325160,3843751.1074812114,-2518591.1074812114,2007,Small Forward,Miami Heat
1286280,3970128.371984631,-2683848.371984631,2007,Power Forward,Memphis Grizzlies
1272120,4096505.63648805,-2824385.63648805,2007,Guard,Orlando Magic
1240920,3906939.739732921,-2666019.739732921,2007,Shooting Guard,Sacramento Kings
1234800,3906939.739732921,-2672139.739732921,2007,Shooting Guard,Milwaukee Bucks
1233840,4159694.26873976,-2925854.26873976,2007,Forward,New Orleans Pelicans
1221240,4222882.90099147,-3001642.9009914696,2007,Center,Dallas Mavericks
1191240,3843751.1074812114,-2652511.1074812114,2007,Small Forward,New York Knicks
1188000,3906939.739732921,-2718939.739732921,2007,Shooting Guard,Miami Heat
1188000,3906939.739732921,-2718939.739732921,2007,Shooting Guard,Charlotte Bobcats
1185480,4033317.0042363405,-2847837.0042363405,2007,Point Guard,New York Knicks
1178348,3906939.739732921,-2728591.739732921,2007,Shooting Guard,Phoenix Suns
1178348,4033317.0042363405,-2854969.0042363405,2007,Point Guard,Indiana Pacers
1172400,3970128.371984631,-2797728.371984631,2007,Power Forward,Chicago Bulls
1143600,4033317.0042363405,-2889717.0042363405,2007,Point Guard,Boston Celtics
1137960,4096505.63648805,-2958545.63648805,2007,Guard,Portland Trail Blazers
1097880,4033317.0042363405,-2935437.0042363405,2007,Point Guard,New Jersey Nets
1092600,3906939.739732921,-2814339.739732921,2007,Shooting Guard,Sacramento Kings
1080480,3906939.739732921,-2826459.739732921,2007,Shooting Guard,Boston Celtics
1080480,4222882.90099147,-3142402.9009914696,2007,Center,New Jersey Nets
1071225,4222882.90099147,-3151657.9009914696,2007,Center,New Jersey Nets
1053960,3970128.371984631,-2916168.371984631,2007,Power Forward,New Jersey Nets
1048800,4033317.0042363405,-2984517.0042363405,2007,Point Guard,Houston Rockets
1037280,3906939.739732921,-2869659.739732921,2007,Shooting Guard,Detroit Pistons
1037280,3906939.739732921,-2869659.739732921,2007,Shooting Guard,Boston Celtics
1011720,4033317.0042363405,-3021597.0042363405,2007,Point Guard,Memphis Grizzlies
1006800,4222882.90099147,-3216082.9009914696,2007,Center,Seattle SuperSonics
1002840,3906939.739732921,-2904099.739732921,2007,Shooting Guard,Sacramento Kings
1000000,4033317.0042363405,-3033317.0042363405,2007,Point Guard,NO/Oklahoma City Hornets
1000000,3906939.739732921,-2906939.739732921,2007,Shooting Guard,Charlotte Bobcats
1000000,3970128.371984631,-2970128.371984631,2007,Power Forward,Philadelphia 76ers
998967,4222882.90099147,-3223915.9009914696,2007,Center,Washington Wizards
973920,3906939.739732921,-2933019.739732921,2007,Shooting Guard,Los Angeles Lakers
973440,3970128.371984631,-2996688.371984631,2007,Power Forward,Detroit Pistons
971280,4033317.0042363405,-3062037.0042363405,2007,Point Guard,Cleveland Cavaliers
967920,4033317.0042363405,-3065397.0042363405,2007,Point Guard,San Antonio Spurs
960840,4222882.90099147,-3262042.9009914696,2007,Center,Indiana Pacers
945600,4222882.90099147,-3277282.9009914696,2007,Center,Cleveland Cavaliers
944520,4096505.63648805,-3151985.63648805,2007,Guard,Orlando Magic
939120,4033317.0042363405,-3094197.0042363405,2007,Point Guard,Los Angeles Lakers
932760,3970128.371984631,-3037368.371984631,2007,Power Forward,Miami Heat
932015,3906939.739732921,-2974924.739732921,2007,Shooting Guard,Washington Wizards
926040,3970128.371984631,-3044088.371984631,2007,Power Forward,New York Knicks
906480,3843751.1074812114,-2937271.1074812114,2007,Small Forward,Dallas Mavericks
899880,4033317.0042363405,-3133437.0042363405,2007,Point Guard,New York Knicks
845360,3843751.1074812114,-2998391.1074812114,2007,Small Forward,Denver Nuggets
810000,4222882.90099147,-3412882.9009914696,2007,Center,Phoenix Suns
802000,3843751.1074812114,-3041751.1074812114,2007,Small Forward,Seattle SuperSonics
800000,4222882.90099147,-3422882.9009914696,2007,Center,New Jersey Nets
798112,4033317.0042363405,-3235205.0042363405,2007,Point Guard,Los Angeles Lakers
798112,3906939.739732921,-3108827.739732921,2007,Shooting Guard,Golden State Warriors
774551,4222882.90099147,-3448331.9009914696,2007,Center,Denver Nuggets
771331,3843751.1074812114,-3072420.1074812114,2007,Small Forward,Detroit Pistons
771331,3970128.371984631,-3198797.371984631,2007,Power Forward,NO/Oklahoma City Hornets
771331,3843751.1074812114,-3072420.1074812114,2007,Small Forward,LA Clippers
760000,4033317.0042363405,-3273317.0042363405,2007,Point Guard,Portland Trail Blazers
750000,4222882.90099147,-3472882.9009914696,2007,Center,New York Knicks
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Phoenix Suns
744551,3906939.739732921,-3162388.739732921,2007,Shooting Guard,Chicago Bulls
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Memphis Grizzlies
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Toronto Raptors
744551,4033317.0042363405,-3288766.0042363405,2007,Point Guard,Toronto Raptors
744551,4222882.90099147,-3478331.9009914696,2007,Center,Washington Wizards
744551,4222882.90099147,-3478331.9009914696,2007,Center,Washington Wizards
744551,4033317.0042363405,-3288766.0042363405,2007,Point Guard,San Antonio Spurs
744551,4033317.0042363405,-3288766.0042363405,2007,Point Guard,Atlanta Hawks
744551,4033317.0042363405,-3288766.0042363405,2007,Point Guard,Seattle SuperSonics
744551,4159694.26873976,-3415143.26873976,2007,Forward,Portland Trail Blazers
744551,3843751.1074812114,-3099200.1074812114,2007,Small Forward,Denver Nuggets
744551,3906939.739732921,-3162388.739732921,2007,Shooting Guard,Washington Wizards
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Sacramento Kings
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Orlando Magic
744551,4222882.90099147,-3478331.9009914696,2007,Center,New York Knicks
744551,3843751.1074812114,-3099200.1074812114,2007,Small Forward,Phoenix Suns
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Minnesota Timberwolves
744551,3970128.371984631,-3225577.371984631,2007,Power Forward,Indiana Pacers
744551,4033317.0042363405,-3288766.0042363405,2007,Point Guard,Miami Heat
744551,3906939.739732921,-3162388.739732921,2007,Shooting Guard,Seattle SuperSonics
744551,3843751.1074812114,-3099200.1074812114,2007,Small Forward,Golden State Warriors
744551,3906939.739732921,-3162388.739732921,2007,Shooting Guard,Milwaukee Bucks
744551,3843751.1074812114,-3099200.1074812114,2007,Small Forward,Indiana Pacers
744551,4222882.90099147,-3478331.9009914696,2007,Center,Boston Celtics
744551,4222882.90099147,-3478331.9009914696,2007,Center,Miami Heat
729000,3906939.739732921,-3177939.739732921,2007,Shooting Guard,Atlanta Hawks
700000,4033317.0042363405,-3333317.0042363405,2007,Point Guard,Houston Rockets
675000,4159694.26873976,-3484694.26873976,2007,Forward,LA Clippers
675000,3970128.371984631,-3295128.371984631,2007,Power Forward,Atlanta Hawks
664209,4033317.0042363405,-3369108.0042363405,2007,Point Guard,Washington Wizards
664209,3906939.739732921,-3242730.739732921,2007,Shooting Guard,Utah Jazz
664209,3970128.371984631,-3305919.371984631,2007,Power Forward,Cleveland Cavaliers
664209,4033317.0042363405,-3369108.0042363405,2007,Point Guard,Orlando Magic
664209,3843751.1074812114,-3179542.1074812114,2007,Small Forward,Indiana Pacers
664209,4033317.0042363405,-3369108.0042363405,2007,Point Guard,Sacramento Kings
664209,4222882.90099147,-3558673.9009914696,2007,Center,Los Angeles Lakers
664209,4159694.26873976,-3495485.26873976,2007,Forward,Detroit Pistons
664209,4222882.90099147,-3558673.9009914696,2007,Center,Washington Wizards
664209,3906939.739732921,-3242730.739732921,2007,Shooting Guard,Minnesota Timberwolves
664209,3843751.1074812114,-3179542.1074812114,2007,Small Forward,Portland Trail Blazers
664209,3970128.371984631,-3305919.371984631,2007,Power Forward,Milwaukee Bucks
664209,4033317.0042363405,-3369108.0042363405,2007,Point Guard,Indiana Pacers
664209,4033317.0042363405,-3369108.0042363405,2007,Point Guard,Milwaukee Bucks
664209,3906939.739732921,-3242730.739732921,2007,Shooting Guard,Philadelphia 76ers
664209,4033317.0042363405,-3369108.0042363405,2007,Point Guard,LA Clippers
664209,3970128.371984631,-3305919.371984631,2007,Power Forward,NO/Oklahoma City Hornets
664209,3970128.371984631,-3305919.371984631,2007,Power Forward,Memphis Grizzlies
664209,3906939.739732921,-3242730.739732921,2007,Shooting Guard,Golden State Warriors
664209,3970128.371984631,-3305919.371984631,2007,Power Forward,Houston Rockets
664209,4159694.26873976,-3495485.26873976,2007,Forward,Oklahoma City Thunder
664209,3906939.739732921,-3242730.739732921,2007,Shooting Guard,Chicago Bulls
664209,4222882.90099147,-3558673.9009914696,2007,Center,Chicago Bulls
664209,3843751.1074812114,-3179542.1074812114,2007,Small Forward,Boston Celtics
644209,3970128.371984631,-3325919.371984631,2007,Power Forward,Atlanta Hawks
625000,3970128.371984631,-3345128.371984631,2007,Power Forward,Utah Jazz
617539,3906939.739732921,-3289400.739732921,2007,Shooting Guard,Charlotte Bobcats
600000,3843751.1074812114,-3243751.1074812114,2007,Small Forward,Houston Rockets
516806,3906939.739732921,-3390133.739732921,2007,Shooting Guard,NO/Oklahoma City Hornets
490528,3970128.371984631,-3479600.371984631,2007,Power Forward,Atlanta Hawks
432000,3970128.371984631,-3538128.371984631,2007,Power Forward,Boston Celtics
427163,4033317.0042363405,-3606154.0042363405,2007,Point Guard,Denver Nuggets
427163,3970128.371984631,-3542965.371984631,2007,Power Forward,Dallas Mavericks
412718,3906939.739732921,-3494221.739732921,2007,Shooting Guard,Denver Nuggets
412718,3843751.1074812114,-3431033.1074812114,2007,Small Forward,NO/Oklahoma City Hornets
412718,4222882.90099147,-3810164.9009914696,2007,Center,Charlotte Bobcats
412718,3843751.1074812114,-3431033.1074812114,2007,Small Forward,New Jersey Nets
412718,3970128.371984631,-3557410.371984631,2007,Power Forward,Toronto Raptors
412718,4222882.90099147,-3810164.9009914696,2007,Center,LA Clippers
412718,3970128.371984631,-3557410.371984631,2007,Power Forward,Minnesota Timberwolves
412718,3970128.371984631,-3557410.371984631,2007,Power Forward,Orlando Magic
412718,3906939.739732921,-3494221.739732921,2007,Shooting Guard,Miami Heat
412718,3906939.739732921,-3494221.739732921,2007,Shooting Guard,Detroit Pistons
412718,3906939.739732921,-3494221.739732921,2007,Shooting Guard,Milwaukee Bucks
412718,3843751.1074812114,-3431033.1074812114,2007,Small Forward,Milwaukee Bucks
412718,3970128.371984631,-3557410.371984631,2007,Power Forward,Milwaukee Bucks
412718,3780562.4752295017,-3367844.4752295017,2007,,Utah Jazz
412718,3780562.4752295017,-3367844.4752295017,2007,,null Unknown
412718,3970128.371984631,-3557410.371984631,2007,Power Forward,Toronto Raptors
412718,3843751.1074812114,-3431033.1074812114,2007,Small Forward,Memphis Grizzlies
412718,3906939.739732921,-3494221.739732921,2007,Shooting Guard,Memphis Grizzlies
412718,3970128.371984631,-3557410.371984631,2007,Power Forward,Dallas Mavericks
412718,3843751.1074812114,-3431033.1074812114,2007,Small Forward,Philadelphia 76ers
412718,3780562.4752295017,-3367844.4752295017,2007,,null Unknown
412718,4033317.0042363405,-3620599.0042363405,2007,Point Guard,Dallas Mavericks
412718,4033317.0042363405,-3620599.0042363405,2007,Point Guard,Utah Jazz
412718,4033317.0042363405,-3620599.0042363405,2007,Point Guard,Miami Heat
412718,3906939.739732921,-3494221.739732921,2007,Shooting Guard,Cleveland Cavaliers
412718,4096505.63648805,-3683787.63648805,2007,Guard,Boston Celtics
412718,3843751.1074812114,-3431033.1074812114,2007,Small Forward,Philadelphia 76ers
407313,4222882.90099147,-3815569.9009914696,2007,Center,Philadelphia 76ers
406340,3970128.371984631,-3563788.371984631,2007,Power Forward,Seattle SuperSonics
405435,3906939.739732921,-3501504.739732921,2007,Shooting Guard,San Antonio Spurs
337238,3906939.739732921,-3569701.739732921,2007,Shooting Guard,Memphis Grizzlies
302200,4033317.0042363405,-3731117.0042363405,2007,Point Guard,Memphis Grizzlies
302200,4222882.90099147,-3920682.9009914696,2007,Center,Milwaukee Bucks
259770,3843751.1074812114,-3583981.1074812114,2007,Small Forward,Golden State Warriors
252486,3970128.371984631,-3717642.371984631,2007,Power Forward,Sacramento Kings
197087,4033317.0042363405,-3836230.0042363405,2007,Point Guard,Sacramento Kings
128935,3906939.739732921,-3778004.739732921,2007,Shooting Guard,Charlotte Bobcats
121388,4159694.26873976,-4038306.26873976,2007,Forward,Washington Wizards
109493,3843751.1074812114,-3734258.1074812114,2007,Small Forward,Toronto Raptors
101966,3970128.371984631,-3868162.371984631,2007,Power Forward,Utah Jazz
70075,3970128.371984631,-3900053.371984631,2007,Power Forward,Utah Jazz
55839,4033317.0042363405,-3977478.0042363405,2007,Point Guard,Memphis Grizzlies
37620,4033317.0042363405,-3995697.0042363405,2007,Point Guard,Denver Nuggets
23443,3906939.739732921,-3883496.739732921,2007,Shooting Guard,LA Clippers
23751934,4076026.421225935,19675907.578774065,2008,Power Forward,Boston Celtics
21000000,4328780.950232774,16671219.049767226,2008,Center,Phoenix Suns
19728000,4139215.053477645,15588784.946522355,2008,Point Guard,New Jersey Nets
19728000,4328780.950232774,15399219.049767226,2008,Center,Indiana Pacers
19490625,3949649.156722516,15540975.843277484,2008,Small Forward,Los Angeles Lakers
19014188,4328780.950232774,14685407.049767226,2008,Center,San Antonio Spurs
19012500,4012837.7889742255,14999662.211025774,2008,Shooting Guard,Denver Nuggets
19012500,4139215.053477645,14873284.946522355,2008,Point Guard,New York Knicks
18257750,4012837.7889742255,14244912.211025774,2008,Shooting Guard,Houston Rockets
16440000,4139215.053477645,12300784.946522355,2008,Point Guard,Golden State Warriors
16440000,4012837.7889742255,12427162.211025774,2008,Shooting Guard,Phoenix Suns
16360094,3949649.156722516,12410444.843277484,2008,Small Forward,Boston Celtics
16360094,4265592.317981064,12094501.682018936,2008,Forward,Dallas Mavericks
16360094,4076026.421225935,12284067.578774065,2008,Power Forward,Washington Wizards
16000000,4012837.7889742255,11987162.211025774,2008,Shooting Guard,Boston Celtics
15500000,4076026.421225935,11423973.578774065,2008,Power Forward,Cleveland Cavaliers
15344000,4076026.421225935,11267973.578774065,2008,Power Forward,LA Clippers
14983603,4139215.053477645,10844387.946522355,2008,Point Guard,Sacramento Kings
14884951,4076026.421225935,10808924.578774065,2008,Power Forward,Orlando Magic
14520000,4012837.7889742255,10507162.211025774,2008,Shooting Guard,Milwaukee Bucks
13762775,4328780.950232774,9433994.049767226,2008,Center,Phoenix Suns
13762775,4328780.950232774,9433994.049767226,2008,Center,Houston Rockets
13735000,4076026.421225935,9658973.578774065,2008,Power Forward,Memphis Grizzlies
13735000,3949649.156722516,9785350.843277484,2008,Small Forward,Utah Jazz
13488378,4202403.685729355,9285974.314270645,2008,Guard,Atlanta Hawks
13333333,4265592.317981064,9067740.682018936,2008,Forward,New York Knicks
13325000,4202403.685729355,9122596.314270645,2008,Guard,New Jersey Nets
13250000,4076026.421225935,9173973.578774065,2008,Power Forward,Denver Nuggets
13248596,4076026.421225935,9172569.578774065,2008,Power Forward,Los Angeles Lakers
13041250,4076026.421225935,8965223.578774065,2008,Power Forward,Denver Nuggets
13041250,4202403.685729355,8838846.314270645,2008,Guard,Miami Heat
13041250,4076026.421225935,8965223.578774065,2008,Power Forward,Toronto Raptors
13041250,3949649.156722516,9091600.843277484,2008,Small Forward,Cleveland Cavaliers
12540000,4076026.421225935,8463973.578774065,2008,Power Forward,Detroit Pistons
12440787,4328780.950232774,8112006.049767226,2008,Center,Portland Trail Blazers
12275000,4012837.7889742255,8262162.2110257745,2008,Shooting Guard,Seattle SuperSonics
12200000,4265592.317981064,7934407.682018936,2008,Forward,New Jersey Nets
12000084,4012837.7889742255,7987246.2110257745,2008,Shooting Guard,Cleveland Cavaliers
11950400,4139215.053477645,7811184.946522355,2008,Point Guard,Washington Wizards
11664000,3949649.156722516,7714350.843277484,2008,Small Forward,New Orleans Hornets
11593816,4076026.421225935,7517789.578774065,2008,Power Forward,Utah Jazz
11375000,4139215.053477645,7235784.946522355,2008,Point Guard,Phoenix Suns
11250000,4012837.7889742255,7237162.2110257745,2008,Shooting Guard,Chicago Bulls
11111110,4012837.7889742255,7098272.2110257745,2008,Shooting Guard,Charlotte Bobcats
10650000,4265592.317981064,6384407.682018936,2008,Forward,New Orleans Hornets
10590500,4328780.950232774,6261719.049767226,2008,Center,Dallas Mavericks
10500000,4202403.685729355,6297596.314270645,2008,Guard,San Antonio Spurs
10500000,4328780.950232774,6171219.049767226,2008,Center,Sacramento Kings
10500000,4328780.950232774,6171219.049767226,2008,Center,New Orleans Hornets
10251435,4328780.950232774,5922654.049767226,2008,Center,Philadelphia 76ers
10142156,4328780.950232774,5813375.049767226,2008,Center,Cleveland Cavaliers
10000000,4328780.950232774,5671219.049767226,2008,Center,Denver Nuggets
10000000,4139215.053477645,5860784.946522355,2008,Point Guard,Detroit Pistons
10000000,4012837.7889742255,5987162.2110257745,2008,Shooting Guard,Detroit Pistons
9600000,4139215.053477645,5460784.946522355,2008,Point Guard,Philadelphia 76ers
9500000,3949649.156722516,5550350.843277484,2008,Small Forward,Dallas Mavericks
9500000,3949649.156722516,5550350.843277484,2008,Small Forward,Charlotte Bobcats
9379279,4328780.950232774,5050498.049767226,2008,Center,Memphis Grizzlies
9280000,3949649.156722516,5330350.843277484,2008,Small Forward,Milwaukee Bucks
9206349,4076026.421225935,5130322.578774065,2008,Power Forward,Indiana Pacers
